,Datum,RGSCode,RGSName,Geschlecht,Altersgruppe,Berufs4Steller,Berufs4StellerBez,BESTAND,Alter_von,Alter_bis
13,2019-01-31,101,Eisenstadt,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
110,2019-01-31,101,Eisenstadt,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
260,2019-01-31,102,Mattersburg,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
394,2019-01-31,103,Neusiedl am See,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
1173,2019-01-31,202,Hermagor,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
1185,2019-01-31,202,Hermagor,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
1224,2019-01-31,203,Klagenfurt,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
1248,2019-01-31,203,Klagenfurt,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
1270,2019-01-31,203,Klagenfurt,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
1294,2019-01-31,203,Klagenfurt,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),2,30,34
1337,2019-01-31,203,Klagenfurt,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
1352,2019-01-31,203,Klagenfurt,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
1373,2019-01-31,203,Klagenfurt,Frauen,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),1,55,59
1407,2019-01-31,203,Klagenfurt,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
1447,2019-01-31,203,Klagenfurt,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
1497,2019-01-31,203,Klagenfurt,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
1538,2019-01-31,203,Klagenfurt,Männer,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
1571,2019-01-31,203,Klagenfurt,Männer,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
1595,2019-01-31,204,Spittal/Drau,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
1977,2019-01-31,206,Villach,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
2028,2019-01-31,206,Villach,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
2131,2019-01-31,206,Villach,Frauen,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
2433,2019-01-31,207,Völkermarkt,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
2682,2019-01-31,301,Amstetten,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
2702,2019-01-31,301,Amstetten,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
2779,2019-01-31,301,Amstetten,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
2849,2019-01-31,301,Amstetten,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),7,0,19
2872,2019-01-31,301,Amstetten,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
2991,2019-01-31,304,Baden neu,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),6,0,19
3033,2019-01-31,304,Baden neu,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),7,20,24
3055,2019-01-31,304,Baden neu,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
3104,2019-01-31,304,Baden neu,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
3127,2019-01-31,304,Baden neu,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
3147,2019-01-31,304,Baden neu,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),2,45,49
3165,2019-01-31,304,Baden neu,Frauen,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
3173,2019-01-31,304,Baden neu,Frauen,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),1,55,59
3205,2019-01-31,304,Baden neu,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),9,0,19
3249,2019-01-31,304,Baden neu,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),5,20,24
3271,2019-01-31,304,Baden neu,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),2,25,29
3398,2019-01-31,306,Bruck/Leitha,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
3411,2019-01-31,306,Bruck/Leitha,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),3,20,24
3450,2019-01-31,306,Bruck/Leitha,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
3487,2019-01-31,306,Bruck/Leitha,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),8,0,19
3532,2019-01-31,306,Bruck/Leitha,Männer,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
3575,2019-01-31,308,Gänserndorf,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
3607,2019-01-31,308,Gänserndorf,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
3652,2019-01-31,308,Gänserndorf,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
3800,2019-01-31,308,Gänserndorf,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
3988,2019-01-31,311,Gmünd,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
4079,2019-01-31,311,Gmünd,Männer,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
4113,2019-01-31,312,Hollabrunn,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
4126,2019-01-31,312,Hollabrunn,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
4211,2019-01-31,312,Hollabrunn,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
4294,2019-01-31,313,Horn,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
4304,2019-01-31,313,Horn,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),3,20,24
4344,2019-01-31,313,Horn,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
4351,2019-01-31,313,Horn,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
4422,2019-01-31,314,Korneuburg,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
4437,2019-01-31,314,Korneuburg,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
4578,2019-01-31,314,Korneuburg,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),6,0,19
4606,2019-01-31,314,Korneuburg,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
4959,2019-01-31,315,Krems,Männer,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
4985,2019-01-31,316,Lilienfeld,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
4998,2019-01-31,316,Lilienfeld,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
5006,2019-01-31,316,Lilienfeld,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
5012,2019-01-31,316,Lilienfeld,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),2,30,34
5061,2019-01-31,316,Lilienfeld,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
5076,2019-01-31,316,Lilienfeld,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
5089,2019-01-31,316,Lilienfeld,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
5233,2019-01-31,317,Melk,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
5346,2019-01-31,319,Mistelbach,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),5,0,19
5358,2019-01-31,319,Mistelbach,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
5373,2019-01-31,319,Mistelbach,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
5456,2019-01-31,319,Mistelbach,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
5472,2019-01-31,319,Mistelbach,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
5556,2019-01-31,321,Mödling,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
5574,2019-01-31,321,Mödling,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
5658,2019-01-31,321,Mödling,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
5714,2019-01-31,321,Mödling,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),7,0,19
5751,2019-01-31,321,Mödling,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
5771,2019-01-31,321,Mödling,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
5876,2019-01-31,323,Neunkirchen,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
5906,2019-01-31,323,Neunkirchen,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
6187,2019-01-31,326,St. Pölten,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
6222,2019-01-31,326,St. Pölten,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
6247,2019-01-31,326,St. Pölten,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
6277,2019-01-31,326,St. Pölten,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),2,30,34
6340,2019-01-31,326,St. Pölten,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
6441,2019-01-31,326,St. Pölten,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
6485,2019-01-31,326,St. Pölten,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),3,20,24
6522,2019-01-31,326,St. Pölten,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
6690,2019-01-31,328,Scheibbs,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
6726,2019-01-31,328,Scheibbs,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
6758,2019-01-31,328,Scheibbs,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
6818,2019-01-31,329,Schwechat,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
6953,2019-01-31,329,Schwechat,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
7073,2019-01-31,331,Tulln,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),9,0,19
7095,2019-01-31,331,Tulln,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
7109,2019-01-31,331,Tulln,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),3,25,29
7145,2019-01-31,331,Tulln,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
7161,2019-01-31,331,Tulln,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
7187,2019-01-31,331,Tulln,Frauen,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
7209,2019-01-31,331,Tulln,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),9,0,19
7230,2019-01-31,331,Tulln,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
7246,2019-01-31,331,Tulln,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
7368,2019-01-31,332,Waidhofen/Thaya,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
7455,2019-01-31,333,Waidhofen/Ybbs,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
7503,2019-01-31,334,Wr. Neustadt,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
7531,2019-01-31,334,Wr. Neustadt,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
7661,2019-01-31,334,Wr. Neustadt,Frauen,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
7699,2019-01-31,334,Wr. Neustadt,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),5,0,19
7736,2019-01-31,334,Wr. Neustadt,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
7950,2019-01-31,335,Zwettl,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
8012,2019-01-31,401,Braunau,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),8,0,19
8057,2019-01-31,401,Braunau,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),3,25,29
8070,2019-01-31,401,Braunau,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
8107,2019-01-31,401,Braunau,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
8121,2019-01-31,401,Braunau,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
8133,2019-01-31,401,Braunau,Frauen,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
8163,2019-01-31,401,Braunau,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),12,0,19
8195,2019-01-31,401,Braunau,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),3,20,24
8220,2019-01-31,401,Braunau,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
8310,2019-01-31,402,Eferding,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
8387,2019-01-31,402,Eferding,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
8646,2019-01-31,404,Gmunden,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
8711,2019-01-31,404,Gmunden,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
8819,2019-01-31,404,Gmunden,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
9039,2019-01-31,406,Grieskirchen,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
9103,2019-01-31,406,Grieskirchen,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
9176,2019-01-31,407,Kirchdorf/Krems,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
9196,2019-01-31,407,Kirchdorf/Krems,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
9210,2019-01-31,407,Kirchdorf/Krems,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
9281,2019-01-31,407,Kirchdorf/Krems,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
9392,2019-01-31,409,Linz neu,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),24,0,19
9440,2019-01-31,409,Linz neu,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),9,20,24
9483,2019-01-31,409,Linz neu,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),7,25,29
9531,2019-01-31,409,Linz neu,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),2,30,34
9580,2019-01-31,409,Linz neu,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),4,35,39
9627,2019-01-31,409,Linz neu,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),3,40,44
9716,2019-01-31,409,Linz neu,Frauen,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),2,55,59
9759,2019-01-31,409,Linz neu,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),26,0,19
9835,2019-01-31,409,Linz neu,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),4,20,24
9897,2019-01-31,409,Linz neu,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),2,25,29
9946,2019-01-31,409,Linz neu,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),2,30,34
9988,2019-01-31,409,Linz neu,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),3,35,39
10027,2019-01-31,409,Linz neu,Männer,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
10106,2019-01-31,409,Linz neu,Männer,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),2,50,54
10126,2019-01-31,409,Linz neu,Männer,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),1,55,59
10139,2019-01-31,411,Perg,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
10219,2019-01-31,411,Perg,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),2,40,44
10268,2019-01-31,411,Perg,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
10387,2019-01-31,412,Ried im Innkreis,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
10409,2019-01-31,412,Ried im Innkreis,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
10446,2019-01-31,412,Ried im Innkreis,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),3,30,34
10459,2019-01-31,412,Ried im Innkreis,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
10474,2019-01-31,412,Ried im Innkreis,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),2,40,44
10524,2019-01-31,412,Ried im Innkreis,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),6,0,19
10540,2019-01-31,412,Ried im Innkreis,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
10562,2019-01-31,412,Ried im Innkreis,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
10616,2019-01-31,412,Ried im Innkreis,Männer,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),1,55,59
10628,2019-01-31,413,Rohrbach,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
10771,2019-01-31,413,Rohrbach,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
10998,2019-01-31,415,Steyr,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),10,0,19
11028,2019-01-31,415,Steyr,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),5,20,24
11054,2019-01-31,415,Steyr,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
11074,2019-01-31,415,Steyr,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
11166,2019-01-31,415,Steyr,Frauen,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),1,55,59
11205,2019-01-31,415,Steyr,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),13,0,19
11244,2019-01-31,415,Steyr,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),3,20,24
11288,2019-01-31,415,Steyr,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
11324,2019-01-31,415,Steyr,Männer,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
11378,2019-01-31,418,Vöcklabruck,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),8,0,19
11398,2019-01-31,418,Vöcklabruck,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
11489,2019-01-31,418,Vöcklabruck,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
11572,2019-01-31,418,Vöcklabruck,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),5,0,19
11637,2019-01-31,418,Vöcklabruck,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
11835,2019-01-31,419,Wels,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),2,35,39
11878,2019-01-31,419,Wels,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
12018,2019-01-31,419,Wels,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
12071,2019-01-31,419,Wels,Männer,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
12114,2019-01-31,421,Traun,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
12140,2019-01-31,421,Traun,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
12169,2019-01-31,421,Traun,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
12193,2019-01-31,421,Traun,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
12340,2019-01-31,421,Traun,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),5,0,19
12375,2019-01-31,421,Traun,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
12455,2019-01-31,421,Traun,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
12521,2019-01-31,421,Traun,Männer,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),1,55,59
12543,2019-01-31,501,Bischofshofen,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
12561,2019-01-31,501,Bischofshofen,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
12588,2019-01-31,501,Bischofshofen,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),2,30,34
12611,2019-01-31,501,Bischofshofen,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
12626,2019-01-31,501,Bischofshofen,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
12675,2019-01-31,501,Bischofshofen,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
12742,2019-01-31,501,Bischofshofen,Männer,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
12769,2019-01-31,503,Hallein,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
13095,2019-01-31,504,Salzburg,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),3,35,39
13127,2019-01-31,504,Salzburg,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
13178,2019-01-31,504,Salzburg,Frauen,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
13188,2019-01-31,504,Salzburg,Frauen,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),1,55,59
13280,2019-01-31,504,Salzburg,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
13413,2019-01-31,504,Salzburg,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
13447,2019-01-31,504,Salzburg,Männer,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
13471,2019-01-31,504,Salzburg,Männer,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
13493,2019-01-31,504,Salzburg,Männer,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
13509,2019-01-31,504,Salzburg,Männer,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),1,55,59
13572,2019-01-31,506,Zell am See,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
13587,2019-01-31,506,Zell am See,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
13600,2019-01-31,506,Zell am See,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
13617,2019-01-31,506,Zell am See,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
13648,2019-01-31,506,Zell am See,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),2,45,49
13673,2019-01-31,506,Zell am See,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
13692,2019-01-31,506,Zell am See,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
13753,2019-01-31,601,Bruck/Mur,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
13776,2019-01-31,601,Bruck/Mur,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),5,20,24
13829,2019-01-31,601,Bruck/Mur,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),2,40,44
13850,2019-01-31,601,Bruck/Mur,Frauen,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
13871,2019-01-31,601,Bruck/Mur,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),7,0,19
13911,2019-01-31,601,Bruck/Mur,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),2,25,29
14008,2019-01-31,603,Deutschlandsberg,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
14109,2019-01-31,603,Deutschlandsberg,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
14219,2019-01-31,604,Feldbach,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
14378,2019-01-31,604,Feldbach,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
14515,2019-01-31,606,Gleisdorf,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
14597,2019-01-31,606,Gleisdorf,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
14665,2019-01-31,609,Hartberg,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
14793,2019-01-31,609,Hartberg,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
14814,2019-01-31,609,Hartberg,Frauen,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),1,55,59
14837,2019-01-31,609,Hartberg,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
14869,2019-01-31,609,Hartberg,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
14978,2019-01-31,610,Judenburg,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
