,Datum,RGSCode,RGSName,Geschlecht,Altersgruppe,Berufs4Steller,Berufs4StellerBez,BESTAND,Alter_von,Alter_bis
552784,2020-09-30,969,Wien-Wagramer Straße,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
553523,2020-09-30,970,Wien Jugendliche,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),27,0,19
553594,2020-09-30,970,Wien Jugendliche,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
553687,2020-09-30,970,Wien Jugendliche,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),34,0,19
553783,2020-09-30,970,Wien Jugendliche,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),6,20,24
553806,2020-09-30,974,Wien Austria Campus,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
553996,2020-09-30,974,Wien Austria Campus,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
554112,2020-09-30,974,Wien Austria Campus,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
554202,2020-09-30,974,Wien Austria Campus,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
554242,2020-09-30,974,Wien Austria Campus,Männer,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
554976,2020-10-31,101,Eisenstadt,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
555153,2020-10-31,102,Mattersburg,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
555159,2020-10-31,102,Mattersburg,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
555516,2020-10-31,105,Oberwart,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
555529,2020-10-31,105,Oberwart,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
555752,2020-10-31,106,Stegersbach,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
555870,2020-10-31,107,Jennersdorf,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
555939,2020-10-31,107,Jennersdorf,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
555972,2020-10-31,201,Feldkirchen,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
556058,2020-10-31,202,Hermagor,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
556102,2020-10-31,203,Klagenfurt,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
556136,2020-10-31,203,Klagenfurt,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
556187,2020-10-31,203,Klagenfurt,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
556216,2020-10-31,203,Klagenfurt,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),2,35,39
556240,2020-10-31,203,Klagenfurt,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),2,40,44
556267,2020-10-31,203,Klagenfurt,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
556294,2020-10-31,203,Klagenfurt,Frauen,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
556338,2020-10-31,203,Klagenfurt,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
556376,2020-10-31,203,Klagenfurt,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
556418,2020-10-31,203,Klagenfurt,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),2,30,34
556437,2020-10-31,203,Klagenfurt,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
556462,2020-10-31,203,Klagenfurt,Männer,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),2,40,44
556486,2020-10-31,203,Klagenfurt,Männer,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),2,45,49
556513,2020-10-31,203,Klagenfurt,Männer,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),1,55,59
556656,2020-10-31,204,Spittal/Drau,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
556731,2020-10-31,205,St. Veit/Glan,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
556832,2020-10-31,205,St. Veit/Glan,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
557303,2020-10-31,207,Völkermarkt,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
557354,2020-10-31,208,Wolfsberg,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
557445,2020-10-31,208,Wolfsberg,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
557508,2020-10-31,301,Amstetten,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),6,0,19
557529,2020-10-31,301,Amstetten,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),3,20,24
557641,2020-10-31,301,Amstetten,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),19,0,19
557671,2020-10-31,301,Amstetten,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
557686,2020-10-31,301,Amstetten,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
557780,2020-10-31,304,Baden neu,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
557808,2020-10-31,304,Baden neu,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),6,20,24
557868,2020-10-31,304,Baden neu,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
557893,2020-10-31,304,Baden neu,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
557972,2020-10-31,304,Baden neu,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),7,0,19
558007,2020-10-31,304,Baden neu,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
558025,2020-10-31,304,Baden neu,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),2,25,29
558136,2020-10-31,306,Bruck/Leitha,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
558151,2020-10-31,306,Bruck/Leitha,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
558161,2020-10-31,306,Bruck/Leitha,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
558226,2020-10-31,306,Bruck/Leitha,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),7,0,19
558307,2020-10-31,308,Gänserndorf,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),6,0,19
558338,2020-10-31,308,Gänserndorf,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
558360,2020-10-31,308,Gänserndorf,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
558476,2020-10-31,308,Gänserndorf,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),11,0,19
558518,2020-10-31,308,Gänserndorf,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
558686,2020-10-31,311,Gmünd,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
558772,2020-10-31,312,Hollabrunn,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),2,25,29
558833,2020-10-31,312,Hollabrunn,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
558848,2020-10-31,312,Hollabrunn,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
558860,2020-10-31,312,Hollabrunn,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
558892,2020-10-31,313,Horn,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
558900,2020-10-31,313,Horn,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),4,20,24
558932,2020-10-31,313,Horn,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
558945,2020-10-31,313,Horn,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
558976,2020-10-31,314,Korneuburg,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
558999,2020-10-31,314,Korneuburg,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
559033,2020-10-31,314,Korneuburg,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
559135,2020-10-31,314,Korneuburg,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),12,0,19
559161,2020-10-31,314,Korneuburg,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
559232,2020-10-31,315,Krems,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
559250,2020-10-31,315,Krems,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
559369,2020-10-31,315,Krems,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
559450,2020-10-31,315,Krems,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
559488,2020-10-31,316,Lilienfeld,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
559523,2020-10-31,316,Lilienfeld,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
559528,2020-10-31,316,Lilienfeld,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
559798,2020-10-31,319,Mistelbach,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
559811,2020-10-31,319,Mistelbach,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
559888,2020-10-31,319,Mistelbach,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
559985,2020-10-31,321,Mödling,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
560013,2020-10-31,321,Mödling,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
560102,2020-10-31,321,Mödling,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
560144,2020-10-31,321,Mödling,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
560178,2020-10-31,321,Mödling,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
560259,2020-10-31,321,Mödling,Männer,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
560287,2020-10-31,323,Neunkirchen,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
560570,2020-10-31,326,St. Pölten,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),11,0,19
560602,2020-10-31,326,St. Pölten,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
560623,2020-10-31,326,St. Pölten,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
560785,2020-10-31,326,St. Pölten,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),10,0,19
560827,2020-10-31,326,St. Pölten,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),3,20,24
560988,2020-10-31,328,Scheibbs,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
560999,2020-10-31,328,Scheibbs,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
561050,2020-10-31,328,Scheibbs,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
561110,2020-10-31,329,Schwechat,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
561129,2020-10-31,329,Schwechat,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
561238,2020-10-31,329,Schwechat,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
561342,2020-10-31,331,Tulln,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),7,0,19
561425,2020-10-31,331,Tulln,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
561470,2020-10-31,331,Tulln,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),11,0,19
561492,2020-10-31,331,Tulln,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
561563,2020-10-31,332,Waidhofen/Thaya,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
561618,2020-10-31,332,Waidhofen/Thaya,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
561650,2020-10-31,333,Waidhofen/Ybbs,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
561702,2020-10-31,333,Waidhofen/Ybbs,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
561757,2020-10-31,334,Wr. Neustadt,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
561777,2020-10-31,334,Wr. Neustadt,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
561932,2020-10-31,334,Wr. Neustadt,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
562231,2020-10-31,401,Braunau,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),9,0,19
562253,2020-10-31,401,Braunau,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),6,20,24
562274,2020-10-31,401,Braunau,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
562296,2020-10-31,401,Braunau,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
562381,2020-10-31,401,Braunau,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),14,0,19
562409,2020-10-31,401,Braunau,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),4,20,24
562442,2020-10-31,401,Braunau,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
562516,2020-10-31,402,Eferding,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
562585,2020-10-31,402,Eferding,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
562732,2020-10-31,403,Freistadt,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
562816,2020-10-31,404,Gmunden,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),9,0,19
562979,2020-10-31,404,Gmunden,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),9,0,19
563133,2020-10-31,406,Grieskirchen,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
563296,2020-10-31,407,Kirchdorf/Krems,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),6,0,19
563330,2020-10-31,407,Kirchdorf/Krems,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
563356,2020-10-31,407,Kirchdorf/Krems,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
563406,2020-10-31,407,Kirchdorf/Krems,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
563510,2020-10-31,409,Linz neu,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),22,0,19
563554,2020-10-31,409,Linz neu,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),8,20,24
563608,2020-10-31,409,Linz neu,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),2,25,29
563647,2020-10-31,409,Linz neu,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
563690,2020-10-31,409,Linz neu,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),5,35,39
563730,2020-10-31,409,Linz neu,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
563767,2020-10-31,409,Linz neu,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
563789,2020-10-31,409,Linz neu,Frauen,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
563846,2020-10-31,409,Linz neu,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),23,0,19
563904,2020-10-31,409,Linz neu,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),8,20,24
563958,2020-10-31,409,Linz neu,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),2,25,29
564006,2020-10-31,409,Linz neu,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
564050,2020-10-31,409,Linz neu,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
564088,2020-10-31,409,Linz neu,Männer,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),2,40,44
564167,2020-10-31,409,Linz neu,Männer,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),3,55,59
564312,2020-10-31,411,Perg,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
564406,2020-10-31,412,Ried im Innkreis,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
564440,2020-10-31,412,Ried im Innkreis,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
564466,2020-10-31,412,Ried im Innkreis,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
564489,2020-10-31,412,Ried im Innkreis,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
564513,2020-10-31,412,Ried im Innkreis,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
564540,2020-10-31,412,Ried im Innkreis,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
564551,2020-10-31,412,Ried im Innkreis,Männer,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),2,25,29
564608,2020-10-31,413,Rohrbach,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
564695,2020-10-31,413,Rohrbach,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
564784,2020-10-31,414,Schärding,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
564919,2020-10-31,415,Steyr,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),16,0,19
564948,2020-10-31,415,Steyr,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
564974,2020-10-31,415,Steyr,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),3,25,29
565039,2020-10-31,415,Steyr,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
565055,2020-10-31,415,Steyr,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
565106,2020-10-31,415,Steyr,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),6,0,19
565135,2020-10-31,415,Steyr,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
565184,2020-10-31,415,Steyr,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
565252,2020-10-31,418,Vöcklabruck,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),8,0,19
565273,2020-10-31,418,Vöcklabruck,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
565438,2020-10-31,418,Vöcklabruck,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),4,0,19
565462,2020-10-31,418,Vöcklabruck,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
565511,2020-10-31,418,Vöcklabruck,Männer,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
565615,2020-10-31,419,Wels,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
565633,2020-10-31,419,Wels,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
565651,2020-10-31,419,Wels,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
565667,2020-10-31,419,Wels,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
565694,2020-10-31,419,Wels,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),2,35,39
565727,2020-10-31,419,Wels,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),1,45,49
565789,2020-10-31,419,Wels,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
565888,2020-10-31,419,Wels,Männer,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
565953,2020-10-31,421,Traun,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
565977,2020-10-31,421,Traun,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
566009,2020-10-31,421,Traun,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
566037,2020-10-31,421,Traun,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),2,30,34
566062,2020-10-31,421,Traun,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
566092,2020-10-31,421,Traun,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
566113,2020-10-31,421,Traun,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),2,45,49
566180,2020-10-31,421,Traun,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
566214,2020-10-31,421,Traun,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
566366,2020-10-31,501,Bischofshofen,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
566425,2020-10-31,501,Bischofshofen,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
566440,2020-10-31,501,Bischofshofen,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),2,35,39
566465,2020-10-31,501,Bischofshofen,Frauen,45 bis 49 Jahre,B9999,unbestimmt (nur Pst),2,45,49
566485,2020-10-31,501,Bischofshofen,Frauen,55 bis 59 Jahre,B9999,unbestimmt (nur Pst),1,55,59
566554,2020-10-31,501,Bischofshofen,Männer,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
566631,2020-10-31,503,Hallein,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
566850,2020-10-31,504,Salzburg,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
566958,2020-10-31,504,Salzburg,Frauen,35 bis 39 Jahre,B9999,unbestimmt (nur Pst),1,35,39
567043,2020-10-31,504,Salzburg,Frauen,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
567141,2020-10-31,504,Salzburg,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
567351,2020-10-31,504,Salzburg,Männer,50 bis 54 Jahre,B9999,unbestimmt (nur Pst),1,50,54
567433,2020-10-31,506,Zell am See,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
567556,2020-10-31,506,Zell am See,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
567628,2020-10-31,601,Bruck/Mur,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),6,0,19
567651,2020-10-31,601,Bruck/Mur,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
567747,2020-10-31,601,Bruck/Mur,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),5,0,19
567908,2020-10-31,603,Deutschlandsberg,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
568115,2020-10-31,604,Feldbach,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
568197,2020-10-31,604,Feldbach,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
568334,2020-10-31,606,Gleisdorf,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
568348,2020-10-31,606,Gleisdorf,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
568431,2020-10-31,606,Gleisdorf,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
568487,2020-10-31,609,Hartberg,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
568649,2020-10-31,609,Hartberg,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
568667,2020-10-31,609,Hartberg,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
568790,2020-10-31,610,Judenburg,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),3,0,19
568915,2020-10-31,610,Judenburg,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
569024,2020-10-31,611,Murau,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
569034,2020-10-31,611,Murau,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
569106,2020-10-31,614,Leibnitz,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
569147,2020-10-31,614,Leibnitz,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
569165,2020-10-31,614,Leibnitz,Frauen,30 bis 34 Jahre,B9999,unbestimmt (nur Pst),1,30,34
569276,2020-10-31,614,Leibnitz,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
569364,2020-10-31,616,Leoben,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
569388,2020-10-31,616,Leoben,Frauen,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),2,20,24
569400,2020-10-31,616,Leoben,Frauen,25 bis 29 Jahre,B9999,unbestimmt (nur Pst),1,25,29
569450,2020-10-31,616,Leoben,Frauen,40 bis 44 Jahre,B9999,unbestimmt (nur Pst),1,40,44
569488,2020-10-31,616,Leoben,Männer,bis 19 Jahre,B9999,unbestimmt (nur Pst),2,0,19
569514,2020-10-31,616,Leoben,Männer,20 bis 24 Jahre,B9999,unbestimmt (nur Pst),1,20,24
569605,2020-10-31,618,Liezen,Frauen,bis 19 Jahre,B9999,unbestimmt (nur Pst),1,0,19
